ref_number,description
0000754570,"mitra)
I
were) | .
hi 7 | et
dilate
i
aa"
0000754732,"mitra)
I
were) | .
hi H | et
ring: |.
ee Ee cd
ha
wl
CLICK HERE"
0000755866,"’ t
VW FE R F enactor
[Colombo Office]
Your Profile
You must have a good academic and industria
track record with a recognized degree; excellent
analytical and problem-solving skills; good
communication, interpersonal and team
working skills and you must be willing to travel. About Enactor
Reporting to a Test Manager, you will be Enactor is a successful and growing software
responsible for defining and driving test company providing enterprise systems to
strategies and plans, testing within a project leading UK, North American and European
and ensuring we déliver quality releases to our retailers. Enactor systems drive the instore,
customers. You will also help define our testing
7 mobile and online channels that make up a
culture and be great at asking questions. It is 4 Sarasa
important to have a creatively destructive modern retail organisation.
mind-set and a methodical and thorough
approach to testing sepees
Responsibilities
F fe oat, > Work closely with Project/Delivery Managers,
Skills & Qualifications y yes Dolan Manger
Dev Leads and agile team to define/drive
> At least 6 years experience in Software test plans and executions.
Quality Assurance (including minimum 2
years in a Test Lead position), preferably in > Drive test automation as a part of testing
Retail applications. process to achieve optimum results.
> Experience in formulating and executing test > Configure and maintain test environments.
plans and strategies.
a > rm functiona i sts,
> Exposure to Software Test Automation with Perform functional/non-functional test
familiarity in Selenium, Cucumber, TestNG
sre desirable > Conduct product demonstrations to the
customers
> Good understanding of the software
development process including Agile > Train the team on testing best practices
practices
If you think you have the right attitude and skills to take on the above role with Enactor, please emai
your CV to sl-careers@enactor.co.uk at your earliest. We are looking to schedule interviews in the next
few weeks.
Fe Dade nD ees RonPasce dd RnuWr sas gak lg
Colombo 7, Sri Lanka"
0000755867,"’ t
WERE enactor
[Colombo Office]

Enactor is headquartered in the UK and runs a large
proportion of product development and customer
projects in its Sri Lankan office. We are looking for Desirable Skills & Experience
hands-on Java Tech Lead for our Colombo office to be
a part of an experienced team of Java, Android and posure to mobile development with Android
iOS developers who can work on par with or Os Would belan advantage
counterparts in the UK. Projects will include mobile
and handheld development, Swing clients, web Developing Workflow, CRM, SCM or ERP
solutions
applications and web services, all driven by our own
process based development platform. You will need > Exposure to Inventory & Warehouse
strong core skills in Java, Web Services, Software Management Systems
Architecture and Communication
> Proficiency in cloud platforms and
technologies (AWS, Azure, Kubernetes, Docker
7 7 Swarm)
Experience & Skills
> Adegree (BSc) in Computer Science or a related Responsibilities
field (Engineering or Mathematics) with at least a
second upper class or higher. > Rapidly learn and become a technical authority
> Aminimum of at least 8 years of experience, on Enactor applications, platform, tool-set and
developing large scale software systems with the architectural/design principles
Java/I2EE stack of which at least 3 years should be
at a Tech Lead level > Provide hands-on development leadership and
> Familiarity with MVC frameworks ensure timely delivery of production quality
solutions
> Developing scalable & multi-threaded applications.
> Sound technology expertise in Relational > Working closely with architects, development
Databases, JDBC, ORM, XML, XSLT, Web leads, application specialists and project
Technologies, SOA and Web Services. managers in other Enactor offices.
> Working knowledge of J2EE containers such as > Writing functional specifications and technical
Tomeat. specifications from BRDs.
> Docker & containerisation technology
> Research , design and code to provide
> Experience in and passion for Agile methodologies. technical solutions.
> Software Architecture and Design experience.
> Effective use af design pattems and experience in f you think you have the right attitude and skills
TDD/BDD with familiarity in JUnit, TestNG to take on the above role with Enactor, please
Selenium, Cucumber. email your CV to sl-careers@enactor.co.uk at
> Experience working in and preferably leading your earliest. We are looking to schedule
distributed agile teams. interviews in the next few weeks.
Greate SIL er, eee YacstK) Parent
ron eT"
0000755891,"@ Pearson lechnology Operations
Security Engineer h
ON a eRe ee eee een se
Une age aeonc seit
Po ee eae eer ae
ay
Nee Cm TR eR Ren eye
a tat nu Cee Ro eel vee iontls) } Neaiee
Can Sane Ao REC C a re -
POE Rg eeu Res Ca) ; vt A
ea co | a
a
Key Responsibilities: Cy a
a=
Sead tees ett eel ue are oe . a a a
Participate in Value stream analysis and help prioritize security work ay RE
TTR Rs Ce) aa eels od e rn oe oe
Pe nomen ew Se eM eset eT] Ecos
PNET Ud e pea
Pee cae cea eet are eee es . Wee
* Assist in implementing an automated framework for security tool eee
Cee Ue eee ue CT acetone 5 (pee
Penne Neel Rene WER RUS) WP
Seema Ree eo a a ee ee eee ay
ee eet ee Secu ee ees cae os
Fare ea een anette Meu enc .
eeeeieae
IVAN TeTU ical ial eos
Sere ra Sue RR eo
ee cu ctiy
ime etsy) ee cane a eee)
eas geese eeu een Ren I) q
Pies geo cee aces
Pen ae eae ec ad
Beane ta ge ese On eee Pee og ele
services like EC2 and more)
ORS area ee ee ea en
+ Anunderstanding of security concepts and tooling within AWS
(GuardDuty, CloudTrail, VPC, etc)
Oa aera en te eae U rae J
* Familiarity with Git and Git-based workflows ie
ee eeu ge ata) Ci Moraes eeu ee
«Experience with laC toolings such as Terraform or CloudFormation
aaa ET Ra ee ae eee
about this role"
0000742780,"VACANCY
Vacancy for Associate Application Consultant

Internationally renowned as one of Sri Lanka’s foremost exporters of Teas, Akbar Brothers has successfully diversified into a range of sectors
through strategic reinvention and expansion. Today, the Group has firm presence in the sector of Tea, Power Generation, Healthcare, Packaging,
Property Development & Environmental services.
Responsibilities:

e Gather organization’s business requirement and prepare process flow documentation for system implementation.

e Perform system implementation and configurations tasks assigned by the reporting officer.

e Create test plans for requirements, scenarios and build test datasets to perform testing.

e Carry out various test scenarios on software products to ensure that system satisfies all specifications and requirements.

e Support and guide end users on system functional matters to carry out their day-to-day activities.

e Assist for continuous improvement of the software implemented. (Multiple ERPs and software).

e Communicate effectively with end users and vendors on matters relates to both technical and functional.

e Prepare complete and detailed documentation for all issues encountered and provide regular status updates on outstanding issues.

e Develop customized reports to fulfill end user and management report requirements.

e Conduct frequent user trainings.

e Carryout other MIS related tasks assigned.

Qualifications & Skills:
e Applicants should hold a Degree/Diploma in Information Technology/ Information Systems or Computer Science.
e 1-2 years’ experience in System Implementation and Support on any Accounting Software/ERP environment (If worked with SAP B One ERP system
would be an added advantage).

e Good exposure in SQL, PL/SQL, Crystal report development.

e Knowledge in Basic Accounting Concepts (AAT Qualification)

e Excellent communication (written and oral- English and Sinhala) are essential.

e Ability to handle multiple tasks and projects simultaneously
Akbar Brothers (Pvt) Limited is seeking a highly motivated and well-organized individual for the ERP team. This is a challenging position in IT
career which involves in the pre and post software implementation activities covering analysis, design, development, testing, implementation,
training, documentation, diagnosing issues, performing bugfixes & maintenance, configuration and end user support. This role will be to mainly
work in a team environment and provide support to end users via telephone/e-mail or in visit. Work activity involves assessing the nature of
the end users and resolving most support issues.
An attractive remunerative package according to the applicant’s skill and experience is on offer to the successful candidate.
If you are confident and possess the capabilities to take up a challenging & progressive career, please send your CV to the address given bellow
stating the position applied on the top left corner of the envelop or email your CV to hrd@akbar.com within 07 days of this advertisement."
0000742996,"= ll hau, -O
ane a
qi °° Ls | a \ \.
<== Ff 7
> 3) i;
ZS, Po
Wiese Poe ¢
TTL rT
Work from Home
Full Time, Online Website Marketing and
Performance Strategist Team - Executive
Responsibilities
® Conducting keyword research using Le N E FITS
software, and generating new keyword ideas. you WI Ll receive
e@ Creating marketing plans and developing strategies = =
based on client requirements and by reviewing client data when worki ng with us
e@ Analyzing website and social media pages, then making
recommendations for improvement. > Legitimate company with EPF/ETF benefits and
® Monitoring website traffic, search results, and developing strategies. enjoy all the benefits according to the Sri Lankan
® Keeping up to date with new trends and best SEO practices. A dlotheeact
® Participate / host meetings with foreign clients via online meeting enopen
platforms, where the meeting topics are especially > Working in your own comfortable space at home
focused on search engine optimization, traffic and keyword with no traveling to the office environment
rankings, ROI ene aitiex related anes related to ealine marketing. SIElexinleioersta complete the daily 8 hours
@ Gather, compile and interpret client solutions requirements and
report it to internal stakeholders. (Conditions applied)
® Ensure clients’ expectations are met through coordinating client > Off on both weekly holidays and mercantile
requirements against outputs from other internal stakeholders. holidays
® Coordinate with clients and internal partners to find mutual
solutions to problems. > Exposure to the international clientele and
Requirements knowledge
® Hands-on knowledge in interpreting and working with Google
Analytics and Google Search Console related data
@ Hands-on experience using Google Data Studio
® Worka minimum of 4 hours every working day between 6.30 PM and 12 AM Sri Lankan Time.
® Outstanding communication skills in sooken and written English skills.
® Prior experience in a similar field / role
We have no part-time jobs available. Therefore, apply only if you can provide your long term
and full-time commitment. a. e —
If interested, please send your CV to careers@ekwa.com and mention the vacancy title as c bi ayCor 0
the subject. * :
www.bizycorp.org www.facebook.com/Bizycorp ae"
0000752821,"@ Pearson Software Engineering
We are on the lookout for an
An
Associate Technical
oO D 6 I
Specialist i
a
felfeas ia-atoy Vole \VRerg 8 G8
send your cv to sitateam@pearson.com"
0000752840,"@ Pearson Software Engineering
We are on the lookout for a

D p a
Senior Technical LV a? Fen

ane a Oc

Specialist a ie
Click Here to apply or
Send your CV to sitateam@pearson.com"
0000752841,"@ Pearson Software Engineering
i , ae
We are on the lookout for a a 4) u
ave
Senior Software A ee
s” « H
1 Cee 2
Engineer 8
— ee
Click Here to apply or
Send your CV to sitateam@pearson.com"
